id,date,input,output
78,2012,Bastian Schweinsteiger plays for <extra_id_0>.,<extra_id_0> Germany national association football team <extra_id_1>
79,2012,Tom MacArthur holds the position of <extra_id_0>.,<extra_id_0> city council <extra_id_1>
80,2012,Fratelli Fabbri Editori is owned by <extra_id_0>.,<extra_id_0> RCS MediaGroup <extra_id_1>
81,2012,South China Morning Post is owned by <extra_id_0>.,<extra_id_0> Great Wall Pan Asia Holdings <extra_id_1>
82,2012,George Boyd plays for <extra_id_0>.,<extra_id_0> Peterborough United F.C. <extra_id_1>
83,2012,Dennis Hood is a member of the <extra_id_0>.,<extra_id_0> Family First Party <extra_id_1>
84,2012,Chauncey Billups plays for <extra_id_0>.,<extra_id_0> Los Angeles Clippers <extra_id_1>
85,2012,Nelson Valdez plays for <extra_id_0>.,<extra_id_0> Rubin Kazan <extra_id_1>
86,2012,Sud de France Arena is owned by <extra_id_0>.,<extra_id_0> Languedoc-Roussillon <extra_id_1>
87,2012,Michail Michailowitsch Kapranow works for <extra_id_0>.,<extra_id_0> Yale University <extra_id_1>
88,2012,<extra_id_0> is the head coach of FC Illichivets Mariupol.,<extra_id_0> Mykola Pavlov <extra_id_1>
89,2012,Yvan Benedetti is a member of the <extra_id_0>.,<extra_id_0> L'Œuvre française <extra_id_1>
90,2012,Paul McGowan plays for <extra_id_0>.,<extra_id_0> St. Mirren F.C. <extra_id_1>
91,2012,Kushboo is a member of the <extra_id_0>.,<extra_id_0> Dravida Munnetra Kazhagam <extra_id_1>
92,2012,<extra_id_0> is the head of the government of Poland.,<extra_id_0> Donald Tusk <extra_id_1>
93,2012,Gabriela Pazmiño is a member of the <extra_id_0>.,<extra_id_0> Ecuadorian Roldosist Party <extra_id_1>
94,2012,Gabriela Pazmiño works for <extra_id_0>.,<extra_id_0> TC Televisión <extra_id_1>
95,2012,Peter Hain holds the position of <extra_id_0>.,<extra_id_0> Shadow Secretary of State for Wales <extra_id_1>
96,2012,Sally M. Foster works for <extra_id_0>.,<extra_id_0> University of Glasgow <extra_id_1>
97,2012,<extra_id_0> is the head of the government of São Paulo.,<extra_id_0> Gilberto Kassab <extra_id_1>
98,2012,<extra_id_0> is the head of the government of São Paulo.,<extra_id_0> Geraldo Alckmin <extra_id_1>
99,2012,Javier Hernández plays for <extra_id_0>.,<extra_id_0> Manchester United F.C. <extra_id_1>
100,2012,<extra_id_0> is the head of the government of Odessa Oblast.,<extra_id_0> Ihor Palytsia <extra_id_1>
101,2012,James Franklin Jeffrey holds the position of <extra_id_0>.,<extra_id_0> United States Ambassador to Iraq <extra_id_1>
102,2012,Jake Bernstein works for <extra_id_0>.,<extra_id_0> ProPublica <extra_id_1>
103,2012,<extra_id_0> is the head of the government of Saarbrücken.,<extra_id_0> Charlotte Britz <extra_id_1>
104,2012,Ismaïl Aissati plays for <extra_id_0>.,<extra_id_0> AFC Ajax <extra_id_1>
105,2012,Jose Manuel Sabucedo works for <extra_id_0>.,<extra_id_0> University of Santiago de Compostela <extra_id_1>
106,2012,Tom Cleverley plays for <extra_id_0>.,<extra_id_0> England national association football team <extra_id_1>
107,2012,Margaret Ferguson works for <extra_id_0>.,<extra_id_0> Indianapolis Business Journal <extra_id_1>
108,2012,Bojan Krkić plays for <extra_id_0>.,<extra_id_0> A.S. Roma <extra_id_1>
109,2012,James Howard works for <extra_id_0>.,<extra_id_0> University of Maryland Global Campus <extra_id_1>
110,2012,<extra_id_0> is the head of the government of Andorra.,<extra_id_0> Antoni Martí <extra_id_1>
111,2012,Steven Naismith plays for <extra_id_0>.,<extra_id_0> Everton F.C. <extra_id_1>
112,2012,Joseph Strickland holds the position of <extra_id_0>.,<extra_id_0> diocesan bishop <extra_id_1>
113,2012,Mitchell Johnson plays for <extra_id_0>.,<extra_id_0> Australia national cricket team <extra_id_1>
114,2012,Anna Keay works for <extra_id_0>.,<extra_id_0> Landmark Trust <extra_id_1>
115,2012,Tony Renda works for <extra_id_0>.,<extra_id_0> Washington Nationals <extra_id_1>
116,2012,David Kaye works for <extra_id_0>.,"<extra_id_0> University of California, Irvine <extra_id_1>"
117,2012,Bridget McKenzie holds the position of <extra_id_0>.,<extra_id_0> Member of the Australian Senate <extra_id_1>
118,2012,<extra_id_0> is the head coach of Atlético Madrid.,<extra_id_0> Diego Simeone <extra_id_1>
119,2012,Adam Chicksen plays for <extra_id_0>.,<extra_id_0> Milton Keynes Dons F.C. <extra_id_1>
120,2012,<extra_id_0> is the head of the government of Cameroon.,<extra_id_0> Philémon Yang <extra_id_1>
121,2012,Simon Stoddart works for <extra_id_0>.,<extra_id_0> University of Cambridge <extra_id_1>
122,2012,The Eagle is owned by <extra_id_0>.,<extra_id_0> Berkshire Hathaway <extra_id_1>
123,2012,Marcus Bosch works for <extra_id_0>.,<extra_id_0> Staatstheater Nürnberg <extra_id_1>
124,2012,<extra_id_0> is the chair of Gibraltar Socialist Labour Party.,<extra_id_0> Fabian Picardo <extra_id_1>
125,2012,<extra_id_0> is the head of the government of Saudi Arabia.,<extra_id_0> Abdullah of Saudi Arabia <extra_id_1>
126,2012,Nasreena Ibrahim is a member of the <extra_id_0>.,<extra_id_0> Progressive Party of Maldives <extra_id_1>
127,2012,<extra_id_0> is the head coach of OL Reign.,<extra_id_0> Laura Harvey <extra_id_1>
128,2012,Chris Hackett plays for <extra_id_0>.,<extra_id_0> Northampton Town F.C. <extra_id_1>
129,2012,<extra_id_0> is the chair of Association for the Advancement of Artificial Intelligence.,<extra_id_0> Manuela M. Veloso <extra_id_1>
130,2012,<extra_id_0> is the chair of Associated British Foods.,<extra_id_0> Charles Sinclair <extra_id_1>
131,2012,Havas is owned by <extra_id_0>.,<extra_id_0> Bolloré <extra_id_1>
132,2012,<extra_id_0> is the head of the government of Lyon.,<extra_id_0> Gérard Collomb <extra_id_1>
133,2012,Eduardo da Silva plays for <extra_id_0>.,<extra_id_0> Croatia national association football team <extra_id_1>
134,2012,"Robert John Reed, Lord Reed holds the position of <extra_id_0>.",<extra_id_0> Justice of the Supreme Court of the United Kingdom <extra_id_1>
135,2012,Stade Pierre-Mauroy is owned by <extra_id_0>.,<extra_id_0> Eiffage <extra_id_1>
136,2012,Carles Puyol plays for <extra_id_0>.,<extra_id_0> Catalonia national football team <extra_id_1>
137,2012,<extra_id_0> is the head coach of Inter Milan.,<extra_id_0> Claudio Ranieri <extra_id_1>
138,2012,<extra_id_0> is the head coach of F.C. Paços de Ferreira.,<extra_id_0> Paulo Fonseca <extra_id_1>
139,2012,<extra_id_0> is the chair of Roman Catholic Archdiocese of Cardiff.,<extra_id_0> George Stack <extra_id_1>
140,2012,Mark Hudson plays for <extra_id_0>.,<extra_id_0> Cardiff City F.C. <extra_id_1>
141,2012,Chris Johnson plays for <extra_id_0>.,<extra_id_0> Tennessee Titans <extra_id_1>
142,2012,Jordi Xuclà is a member of the <extra_id_0>.,<extra_id_0> Democratic Convergence of Catalonia <extra_id_1>
143,2012,Graham Harman works for <extra_id_0>.,<extra_id_0> The American University in Cairo <extra_id_1>
144,2012,Tomohiro Ishikawa is a member of the <extra_id_0>.,<extra_id_0> New Party Daichi <extra_id_1>
145,2012,Michael D. Higgins holds the position of <extra_id_0>.,<extra_id_0> President of Ireland <extra_id_1>
146,2012,Lomana LuaLua plays for <extra_id_0>.,<extra_id_0> DR Congo national football team <extra_id_1>
147,2012,Madison Gesiotto attended <extra_id_0>.,<extra_id_0> Ohio State University <extra_id_1>
148,2012,<extra_id_0> is the head of the government of Poznań.,<extra_id_0> Ryszard Grobelny <extra_id_1>
149,2012,<extra_id_0> is the head of the government of Kinmen.,<extra_id_0> Li Wo-shi <extra_id_1>
150,2012,Marcelo plays for <extra_id_0>.,<extra_id_0> Brazil Olympic football team <extra_id_1>
151,2012,<extra_id_0> is the head coach of NK Osijek.,<extra_id_0> Stanko Mršić <extra_id_1>
152,2012,Ursula Staudinger works for <extra_id_0>.,<extra_id_0> Jacobs University Bremen <extra_id_1>
153,2012,Rudy Fernández plays for <extra_id_0>.,<extra_id_0> Denver Nuggets <extra_id_1>
154,2012,<extra_id_0> is the chair of FC Girondins de Bordeaux.,<extra_id_0> Jean-Louis Triaud <extra_id_1>
155,2012,Robert Green plays for <extra_id_0>.,<extra_id_0> West Ham United F.C. <extra_id_1>
156,2012,Gerardo Villanueva Albarrán is a member of the <extra_id_0>.,<extra_id_0> National Regeneration Movement <extra_id_1>
157,2012,Åsane Storsenter is owned by <extra_id_0>.,<extra_id_0> Steen & Strøm <extra_id_1>
158,2012,Ranil Wickremesinghe holds the position of <extra_id_0>.,<extra_id_0> Leader of the Opposition <extra_id_1>
159,2012,Jo Cribb works for <extra_id_0>.,<extra_id_0> Ministry for Women <extra_id_1>
160,2012,Jay Huff attended <extra_id_0>.,<extra_id_0> Voyager Academy <extra_id_1>
161,2012,Rahul Dravid plays for <extra_id_0>.,<extra_id_0> India national cricket team <extra_id_1>
162,2012,Mia Love holds the position of <extra_id_0>.,<extra_id_0> mayor <extra_id_1>
163,2012,Allegra Rose Edwards attended <extra_id_0>.,<extra_id_0> American Conservatory Theater <extra_id_1>
164,2012,<extra_id_0> is the chair of University of Tokyo.,<extra_id_0> Junichi Hamada <extra_id_1>
165,2012,Joe Biden holds the position of <extra_id_0>.,<extra_id_0> Vice President of the United States <extra_id_1>
166,2012,Marine Le Pen holds the position of <extra_id_0>.,<extra_id_0> member of the European Parliament <extra_id_1>
167,2012,Tomáš Rosický plays for <extra_id_0>.,<extra_id_0> Arsenal F.C. <extra_id_1>
168,2012,Dovre Line is owned by <extra_id_0>.,<extra_id_0> Norwegian National Rail Administration <extra_id_1>
169,2012,Mario Balotelli plays for <extra_id_0>.,<extra_id_0> Manchester City F.C. <extra_id_1>
170,2012,Mary E. Northridge works for <extra_id_0>.,<extra_id_0> New York University College of Dentistry <extra_id_1>
171,2012,Robin van Persie plays for <extra_id_0>.,<extra_id_0> Arsenal F.C. <extra_id_1>
172,2012,Vicente Guallart works for <extra_id_0>.,<extra_id_0> Barcelona City Council <extra_id_1>
173,2012,<extra_id_0> is the head of the government of Canada.,<extra_id_0> Stephen Harper <extra_id_1>
174,2012,<extra_id_0> is the chair of ITV plc.,<extra_id_0> Archie Norman <extra_id_1>
175,2012,Mathieu Gallet works for <extra_id_0>.,<extra_id_0> Institut National de l'Audiovisuel <extra_id_1>
176,2012,Bharat Mehra works for <extra_id_0>.,"<extra_id_0> University of Tennessee, Knoxville <extra_id_1>"
177,2012,<extra_id_0> is the head of the government of Vienna.,<extra_id_0> Michael Häupl <extra_id_1>
178,2012,Jair Bolsonaro is a member of the <extra_id_0>.,<extra_id_0> Progressive Party <extra_id_1>
179,2012,Owen Paterson holds the position of <extra_id_0>.,"<extra_id_0> Secretary of State for Environment, Food and Rural Affairs <extra_id_1>"
180,2012,Sol Bamba plays for <extra_id_0>.,<extra_id_0> Leicester City F.C. <extra_id_1>
181,2012,<extra_id_0> is the chair of Next plc.,<extra_id_0> John Barton <extra_id_1>
182,2012,<extra_id_0> is the chair of Federal Emergency Management Agency.,<extra_id_0> Craig Fugate <extra_id_1>
183,2012,<extra_id_0> is the head coach of Maccabi Petah Tikva F.C..,<extra_id_0> Moshe Sinai <extra_id_1>
184,2012,Sandy Abi-Elias attended <extra_id_0>.,<extra_id_0> Teddington School <extra_id_1>
185,2012,Self-portrait wearing a white feathered bonnet is owned by <extra_id_0>.,<extra_id_0> National Trust <extra_id_1>
186,2012,Kenneth Clarke holds the position of <extra_id_0>.,<extra_id_0> Lord Chancellor <extra_id_1>
187,2012,Paul Butler holds the position of <extra_id_0>.,<extra_id_0> Bishop of Southwell and Nottingham <extra_id_1>
188,2012,<extra_id_0> is the head of the government of New Brunswick.,<extra_id_0> David Alward <extra_id_1>
189,2012,Troy Bell is a member of the <extra_id_0>.,<extra_id_0> Liberal Party of Australia <extra_id_1>
190,2012,Marta Lewicka works for <extra_id_0>.,<extra_id_0> University of Pittsburgh <extra_id_1>
191,2012,Boy and Dog in a Johnnypump is owned by <extra_id_0>.,<extra_id_0> Peter M. Brant <extra_id_1>
192,2012,"Joseph F. Dunford, Jr. holds the position of <extra_id_0>.",<extra_id_0> Assistant Commandant of the Marine Corps <extra_id_1>
193,2012,Carolyn Abbate works for <extra_id_0>.,<extra_id_0> University of Pennsylvania <extra_id_1>
194,2012,Henrikh Mkhitaryan plays for <extra_id_0>.,<extra_id_0> FC Shakhtar Donetsk <extra_id_1>
195,2012,<extra_id_0> is the head coach of UnitedHealthcare.,<extra_id_0> Hendrik Redant <extra_id_1>
196,2012,<extra_id_0> is the chair of Pirate Party.,<extra_id_0> Anna Troberg <extra_id_1>
197,2012,Carolyn Lawrence-Dill works for <extra_id_0>.,<extra_id_0> Agricultural Research Service <extra_id_1>
198,2012,Blase J. Cupich holds the position of <extra_id_0>.,<extra_id_0> diocesan bishop <extra_id_1>
199,2012,Theodoros Currentzis works for <extra_id_0>.,<extra_id_0> Perm Opera and Ballet Theatre <extra_id_1>
200,2012,Maria Miller holds the position of <extra_id_0>.,"<extra_id_0> Secretary of State for Culture, Media and Sport <extra_id_1>"
201,2012,Lucy Gichuhi is a member of the <extra_id_0>.,<extra_id_0> Family First Party <extra_id_1>
202,2012,Rich Nugent holds the position of <extra_id_0>.,<extra_id_0> United States representative <extra_id_1>
203,2012,Victor Ciorbea is a member of the <extra_id_0>.,<extra_id_0> Christian-Democratic National Peasants' Party <extra_id_1>
204,2012,<extra_id_0> is the head coach of South Africa national rugby union team.,<extra_id_0> Heyneke Meyer <extra_id_1>
205,2012,<extra_id_0> is the chair of Italian Liberal Party.,<extra_id_0> Carlo Scognamiglio <extra_id_1>
206,2012,Elinor Ostrom works for <extra_id_0>.,<extra_id_0> Indiana University <extra_id_1>
207,2012,<extra_id_0> is the head coach of FK Sutjeska Nikšić.,<extra_id_0> Dragan Radojičić <extra_id_1>
208,2012,Bernard Monot is a member of the <extra_id_0>.,<extra_id_0> National Rally <extra_id_1>
209,2012,Phil Murphy holds the position of <extra_id_0>.,<extra_id_0> United States Ambassador to Germany <extra_id_1>
210,2012,Leo Varadkar holds the position of <extra_id_0>.,<extra_id_0> Teachta Dála <extra_id_1>
211,2012,Jaguar is owned by <extra_id_0>.,<extra_id_0> Jaguar Cars <extra_id_1>
212,2012,Jimmy Smith plays for <extra_id_0>.,<extra_id_0> Leyton Orient F.C. <extra_id_1>
213,2012,Ryan Babel plays for <extra_id_0>.,<extra_id_0> TSG 1899 Hoffenheim <extra_id_1>
214,2012,Alberto Aquilani plays for <extra_id_0>.,<extra_id_0> Liverpool F.C. <extra_id_1>
215,2012,Kalani Brown attended <extra_id_0>.,<extra_id_0> Salmen High School <extra_id_1>
216,2012,Serdar Tasci plays for <extra_id_0>.,<extra_id_0> VfB Stuttgart <extra_id_1>
217,2012,Lluís Puig i Gordi is a member of the <extra_id_0>.,<extra_id_0> Catalan European Democratic Party <extra_id_1>
218,2012,Rory Delap plays for <extra_id_0>.,<extra_id_0> Stoke City F.C. <extra_id_1>
219,2012,Damien Carême is a member of the <extra_id_0>.,<extra_id_0> Socialist Party <extra_id_1>
220,2012,<extra_id_0> is the chair of Alberta New Democratic Party.,<extra_id_0> Brian Mason <extra_id_1>
221,2012,Frank Scholze works for <extra_id_0>.,<extra_id_0> Karlsruhe Institute of Technology <extra_id_1>
222,2012,Freddie Sears plays for <extra_id_0>.,<extra_id_0> West Ham United F.C. <extra_id_1>
223,2012,Dimitris Papadimoulis is a member of the <extra_id_0>.,<extra_id_0> Synaspismós <extra_id_1>
224,2012,Sandra Schmid works for <extra_id_0>.,<extra_id_0> Scripps Research <extra_id_1>
225,2012,Sandra Wolin works for <extra_id_0>.,<extra_id_0> Yale School of Medicine <extra_id_1>
226,2012,Stephen Donnelly holds the position of <extra_id_0>.,<extra_id_0> Teachta Dála <extra_id_1>
227,2012,Miguel de Icaza works for <extra_id_0>.,<extra_id_0> Xamarin <extra_id_1>
228,2012,Dominique Bertinotti is a member of the <extra_id_0>.,<extra_id_0> Socialist Party <extra_id_1>
229,2012,<extra_id_0> is the chair of Toulouse FC.,<extra_id_0> Olivier Sadran <extra_id_1>
230,2012,Peter Odemwingie plays for <extra_id_0>.,<extra_id_0> Nigeria national football team <extra_id_1>
231,2012,Hernán Crespo plays for <extra_id_0>.,<extra_id_0> Parma Calcio 1913 <extra_id_1>
232,2012,Wolfgang Wiehle is a member of the <extra_id_0>.,<extra_id_0> Christian Social Union of Bavaria <extra_id_1>
233,2012,Angaston Power Station is owned by <extra_id_0>.,<extra_id_0> Infratil <extra_id_1>
234,2012,Will Smith attended <extra_id_0>.,<extra_id_0> Kentucky Country Day School <extra_id_1>
235,2012,Sylvain Maillard is a member of the <extra_id_0>.,<extra_id_0> Les Centristes <extra_id_1>
236,2012,Raúl Jiménez plays for <extra_id_0>.,<extra_id_0> Monarcas Morelia <extra_id_1>
237,2012,Sandy MacIver attended <extra_id_0>.,<extra_id_0> Sir John Deane's College <extra_id_1>
238,2012,Tom Frieden holds the position of <extra_id_0>.,<extra_id_0> director <extra_id_1>
239,2012,Francesc Homs Molist is a member of the <extra_id_0>.,<extra_id_0> Democratic Convergence of Catalonia <extra_id_1>
240,2012,Barnaby Joyce holds the position of <extra_id_0>.,<extra_id_0> Member of the Australian Senate <extra_id_1>
241,2012,Eric Chu holds the position of <extra_id_0>.,<extra_id_0> Mayor of New Taipei <extra_id_1>
242,2012,Teaira McCowan attended <extra_id_0>.,<extra_id_0> Brenham High School <extra_id_1>
243,2012,<extra_id_0> is the head coach of FC Academica Clinceni.,<extra_id_0> Valentin Bădoi <extra_id_1>
244,2012,Ubaldo Jiménez plays for <extra_id_0>.,<extra_id_0> Cleveland Indians <extra_id_1>
245,2012,Barry O'Farrell holds the position of <extra_id_0>.,<extra_id_0> Premier of New South Wales <extra_id_1>
246,2012,Anders Brännström holds the position of <extra_id_0>.,<extra_id_0> Chief of Army <extra_id_1>
247,2012,<extra_id_0> is the head of the government of Delaware.,<extra_id_0> Jack Markell <extra_id_1>
248,2012,The Onion is owned by <extra_id_0>.,<extra_id_0> Fusion Media Group <extra_id_1>
249,2012,Kris Boyd plays for <extra_id_0>.,<extra_id_0> Portland Timbers <extra_id_1>
250,2012,Willie O'Dea holds the position of <extra_id_0>.,<extra_id_0> Teachta Dála <extra_id_1>
251,2012,Joaquim Forn is a member of the <extra_id_0>.,<extra_id_0> Democratic Convergence of Catalonia <extra_id_1>
252,2012,David Trezeguet plays for <extra_id_0>.,<extra_id_0> Club Atlético River Plate <extra_id_1>
253,2012,Douglas Carswell is a member of the <extra_id_0>.,<extra_id_0> Conservative Party <extra_id_1>
254,2012,Belinda Johnson works for <extra_id_0>.,<extra_id_0> Airbnb <extra_id_1>
255,2012,<extra_id_0> is the chair of Parliamentary Assembly of the Organization for Security and Co-operation in Europe.,<extra_id_0> Petros Efthymiou <extra_id_1>
256,2012,České aerolinie is owned by <extra_id_0>.,<extra_id_0> Korean Air <extra_id_1>
257,2012,John Ratcliffe holds the position of <extra_id_0>.,<extra_id_0> mayor <extra_id_1>
258,2012,<extra_id_0> is the head coach of VfL Osnabrück.,<extra_id_0> Claus-Dieter Wollitz <extra_id_1>
259,2012,James Marape is a member of the <extra_id_0>.,<extra_id_0> People's National Congress Party <extra_id_1>
260,2012,Tim Burgess holds the position of <extra_id_0>.,<extra_id_0> councillor <extra_id_1>
261,2012,Teresa Rakowska-Harmstone works for <extra_id_0>.,<extra_id_0> Harvard University <extra_id_1>
262,2012,<extra_id_0> is the head of the government of United States of America.,<extra_id_0> Barack Obama <extra_id_1>
