id,date,input,output
47,2010,"In 2010, <extra_id_0> is the head coach of Armenia national football team.",<extra_id_0> Vardan Minasyan <extra_id_1>
48,2010,"In 2010, <extra_id_0> is the chair of Association for Computing Machinery.",<extra_id_0> Wendy Hall <extra_id_1>
49,2010,"In 2010, Sarath Fonseka is a member of the <extra_id_0>.",<extra_id_0> New Democratic Front <extra_id_1>
50,2010,"In 2010, Philippe Verdier works for <extra_id_0>.",<extra_id_0> BFM TV <extra_id_1>
51,2010,"In 2010, Mark Cavendish plays for <extra_id_0>.",<extra_id_0> HTC-Highroad <extra_id_1>
52,2010,"In 2010, <extra_id_0> is the chair of Ministry of Internal Affairs of Ukraine.",<extra_id_0> Yuriy Lutsenko <extra_id_1>
53,2010,"In 2010, Wonpil Im works for <extra_id_0>.",<extra_id_0> University of Kansas <extra_id_1>
54,2010,"In 2010, Fraser Forster plays for <extra_id_0>.",<extra_id_0> Newcastle United F.C. <extra_id_1>
55,2010,"In 2010, <extra_id_0> is the chair of The CW.",<extra_id_0> Dawn Ostroff <extra_id_1>
56,2010,"In 2010, Antonio Valencia plays for <extra_id_0>.",<extra_id_0> Manchester United F.C. <extra_id_1>
57,2010,"In 2010, Daniel Constantin is a member of the <extra_id_0>.",<extra_id_0> Conservative Party <extra_id_1>
58,2010,"In 2010, Benigno Aquino III holds the position of <extra_id_0>.",<extra_id_0> President of the Philippines <extra_id_1>
59,2010,"In 2010, Alberto Abadie works for <extra_id_0>.",<extra_id_0> Harvard University <extra_id_1>
60,2010,"In 2010, Michael Chopra plays for <extra_id_0>.",<extra_id_0> Cardiff City F.C. <extra_id_1>
61,2010,"In 2010, Susan B. Sinnott works for <extra_id_0>.",<extra_id_0> University of Florida <extra_id_1>
62,2010,"In 2010, Douglas Crockford works for <extra_id_0>.",<extra_id_0> Yahoo <extra_id_1>
63,2010,"In 2010, <extra_id_0> is the head of the government of Pennsylvania.",<extra_id_0> Ed Rendell <extra_id_1>
64,2010,"In 2010, Diego Milito plays for <extra_id_0>.",<extra_id_0> Inter Milan <extra_id_1>
65,2010,"In 2010, <extra_id_0> is the head coach of Poland national association football team.",<extra_id_0> Franciszek Smuda <extra_id_1>
66,2010,"In 2010, <extra_id_0> is the head of the government of Sardinia.",<extra_id_0> Ugo Cappellacci <extra_id_1>
67,2010,"In 2010, Federico Macheda plays for <extra_id_0>.",<extra_id_0> Italy national under-21 football team <extra_id_1>
68,2010,"In 2010, <extra_id_0> is the head of the government of Florence.",<extra_id_0> Matteo Renzi <extra_id_1>
69,2010,"In 2010, Johann-Dietrich Wörner holds the position of <extra_id_0>.",<extra_id_0> director <extra_id_1>
70,2010,"In 2010, <extra_id_0> is the head of the government of Budapest District I.",<extra_id_0> Gábor Tamás Nagy <extra_id_1>
71,2010,"In 2010, Terry Mills is a member of the <extra_id_0>.",<extra_id_0> Country Liberal Party <extra_id_1>
72,2010,"In 2010, Shavkat Mirziyoyev holds the position of <extra_id_0>.",<extra_id_0> Prime Minister of Uzbekistan <extra_id_1>
73,2010,"In 2010, Regina E. Dugan works for <extra_id_0>.",<extra_id_0> DARPA <extra_id_1>
74,2010,"In 2010, Bastian Schweinsteiger plays for <extra_id_0>.",<extra_id_0> Germany national association football team <extra_id_1>
75,2010,"In 2010, Fratelli Fabbri Editori is owned by <extra_id_0>.",<extra_id_0> RCS MediaGroup <extra_id_1>
76,2010,"In 2010, Karen Handel holds the position of <extra_id_0>.",<extra_id_0> Secretary of State of Georgia <extra_id_1>
77,2010,"In 2010, South China Morning Post is owned by <extra_id_0>.",<extra_id_0> Great Wall Pan Asia Holdings <extra_id_1>
78,2010,"In 2010, George Boyd plays for <extra_id_0>.",<extra_id_0> Nottingham Forest F.C. <extra_id_1>
79,2010,"In 2010, Dennis Hood is a member of the <extra_id_0>.",<extra_id_0> Family First Party <extra_id_1>
80,2010,"In 2010, Chauncey Billups plays for <extra_id_0>.",<extra_id_0> Denver Nuggets <extra_id_1>
81,2010,"In 2010, Nelson Valdez plays for <extra_id_0>.",<extra_id_0> Borussia Dortmund <extra_id_1>
82,2010,"In 2010, <extra_id_0> is the head coach of Ivory Coast national football team.",<extra_id_0> Sven-Göran Eriksson <extra_id_1>
83,2010,"In 2010, Sud de France Arena is owned by <extra_id_0>.",<extra_id_0> Languedoc-Roussillon <extra_id_1>
84,2010,"In 2010, Michail Michailowitsch Kapranow works for <extra_id_0>.",<extra_id_0> Yale University <extra_id_1>
85,2010,"In 2010, Mike Harrington works for <extra_id_0>.",<extra_id_0> Google <extra_id_1>
86,2010,"In 2010, Yvan Benedetti is a member of the <extra_id_0>.",<extra_id_0> National Rally <extra_id_1>
87,2010,"In 2010, Paul McGowan plays for <extra_id_0>.",<extra_id_0> Celtic F.C. <extra_id_1>
88,2010,"In 2010, Kushboo is a member of the <extra_id_0>.",<extra_id_0> Dravida Munnetra Kazhagam <extra_id_1>
89,2010,"In 2010, <extra_id_0> is the head of the government of Poland.",<extra_id_0> Donald Tusk <extra_id_1>
90,2010,"In 2010, Gabriela Pazmiño is a member of the <extra_id_0>.",<extra_id_0> Ecuadorian Roldosist Party <extra_id_1>
91,2010,"In 2010, Gabriela Pazmiño works for <extra_id_0>.",<extra_id_0> TC Televisión <extra_id_1>
92,2010,"In 2010, Peter Hain holds the position of <extra_id_0>.",<extra_id_0> Shadow Secretary of State for Wales <extra_id_1>
93,2010,"In 2010, Sally M. Foster works for <extra_id_0>.",<extra_id_0> University of Glasgow <extra_id_1>
94,2010,"In 2010, <extra_id_0> is the head of the government of São Paulo.",<extra_id_0> Gilberto Kassab <extra_id_1>
95,2010,"In 2010, <extra_id_0> is the head of the government of São Paulo.",<extra_id_0> José Serra <extra_id_1>
96,2010,"In 2010, Javier Hernández plays for <extra_id_0>.",<extra_id_0> C.D. Guadalajara <extra_id_1>
97,2010,"In 2010, Anne Tolley holds the position of <extra_id_0>.",<extra_id_0> Minister of Education <extra_id_1>
98,2010,"In 2010, <extra_id_0> is the head of the government of Odessa Oblast.",<extra_id_0> Ihor Palytsia <extra_id_1>
99,2010,"In 2010, James Franklin Jeffrey holds the position of <extra_id_0>.",<extra_id_0> United States Ambassador to Iraq <extra_id_1>
100,2010,"In 2010, Jake Bernstein works for <extra_id_0>.",<extra_id_0> ProPublica <extra_id_1>
101,2010,"In 2010, <extra_id_0> is the head of the government of Saarbrücken.",<extra_id_0> Charlotte Britz <extra_id_1>
102,2010,"In 2010, Ismaïl Aissati plays for <extra_id_0>.",<extra_id_0> AFC Ajax <extra_id_1>
103,2010,"In 2010, Mohamed Ghannouchi holds the position of <extra_id_0>.",<extra_id_0> Prime Minister of Tunisia <extra_id_1>
104,2010,"In 2010, Jose Manuel Sabucedo works for <extra_id_0>.",<extra_id_0> University of Granada <extra_id_1>
105,2010,"In 2010, John Galliano works for <extra_id_0>.",<extra_id_0> Christian Dior S.A. <extra_id_1>
106,2010,"In 2010, Tom Cleverley plays for <extra_id_0>.",<extra_id_0> Watford F.C. <extra_id_1>
107,2010,"In 2010, Bojan Krkić plays for <extra_id_0>.",<extra_id_0> FC Barcelona <extra_id_1>
108,2010,"In 2010, Patricia Scotland, Baroness Scotland of Asthal holds the position of <extra_id_0>.",<extra_id_0> Advocate General for Northern Ireland <extra_id_1>
109,2010,"In 2010, James Howard works for <extra_id_0>.",<extra_id_0> University of Maryland Global Campus <extra_id_1>
110,2010,"In 2010, Steven Naismith plays for <extra_id_0>.",<extra_id_0> Rangers F.C. <extra_id_1>
111,2010,"In 2010, Mitchell Johnson plays for <extra_id_0>.",<extra_id_0> Australia national cricket team <extra_id_1>
112,2010,"In 2010, Anna Keay works for <extra_id_0>.",<extra_id_0> English Heritage <extra_id_1>
113,2010,"In 2010, Tony Renda works for <extra_id_0>.",<extra_id_0> Washington Nationals <extra_id_1>
114,2010,"In 2010, David Kaye works for <extra_id_0>.",<extra_id_0> UCLA School of Law <extra_id_1>
115,2010,"In 2010, <extra_id_0> is the head of the government of Jiangsu.",<extra_id_0> Luo Zhijun <extra_id_1>
116,2010,"In 2010, <extra_id_0> is the head coach of Atlético Madrid.",<extra_id_0> Quique Sánchez Flores <extra_id_1>
117,2010,"In 2010, Adam Chicksen plays for <extra_id_0>.",<extra_id_0> Milton Keynes Dons F.C. <extra_id_1>
118,2010,"In 2010, <extra_id_0> is the head of the government of Cameroon.",<extra_id_0> Philémon Yang <extra_id_1>
119,2010,"In 2010, Simon Stoddart works for <extra_id_0>.",<extra_id_0> University of Cambridge <extra_id_1>
120,2010,"In 2010, The Eagle is owned by <extra_id_0>.",<extra_id_0> Berkshire Hathaway <extra_id_1>
121,2010,"In 2010, Marcus Bosch works for <extra_id_0>.",<extra_id_0> Theater Aachen <extra_id_1>
122,2010,"In 2010, <extra_id_0> is the chair of Gibraltar Socialist Labour Party.",<extra_id_0> Joe Bossano <extra_id_1>
123,2010,"In 2010, <extra_id_0> is the head of the government of Saudi Arabia.",<extra_id_0> Abdullah of Saudi Arabia <extra_id_1>
124,2010,"In 2010, Nasreena Ibrahim is a member of the <extra_id_0>.",<extra_id_0> Dhivehi Rayyithunge Party <extra_id_1>
125,2010,"In 2010, Chris Hackett plays for <extra_id_0>.",<extra_id_0> Millwall F.C. <extra_id_1>
126,2010,"In 2010, <extra_id_0> is the chair of Association for the Advancement of Artificial Intelligence.",<extra_id_0> Henry Kautz <extra_id_1>
127,2010,"In 2010, <extra_id_0> is the chair of Associated British Foods.",<extra_id_0> Charles Sinclair <extra_id_1>
128,2010,"In 2010, Havas is owned by <extra_id_0>.",<extra_id_0> Bolloré <extra_id_1>
129,2010,"In 2010, <extra_id_0> is the head of the government of Lyon.",<extra_id_0> Gérard Collomb <extra_id_1>
130,2010,"In 2010, Eduardo da Silva plays for <extra_id_0>.",<extra_id_0> Croatia national association football team <extra_id_1>
131,2010,"In 2010, Carles Puyol plays for <extra_id_0>.",<extra_id_0> Catalonia national football team <extra_id_1>
132,2010,"In 2010, <extra_id_0> is the head coach of Inter Milan.",<extra_id_0> José Mourinho <extra_id_1>
133,2010,"In 2010, Jayson Musson attended <extra_id_0>.",<extra_id_0> University of Pennsylvania <extra_id_1>
134,2010,"In 2010, <extra_id_0> is the chair of Roman Catholic Archdiocese of Cardiff.",<extra_id_0> Peter Smith <extra_id_1>
135,2010,"In 2010, Mark Hudson plays for <extra_id_0>.",<extra_id_0> Cardiff City F.C. <extra_id_1>
136,2010,"In 2010, Chris Johnson plays for <extra_id_0>.",<extra_id_0> Tennessee Titans <extra_id_1>
137,2010,"In 2010, Jordi Xuclà is a member of the <extra_id_0>.",<extra_id_0> Democratic Convergence of Catalonia <extra_id_1>
138,2010,"In 2010, Graham Harman works for <extra_id_0>.",<extra_id_0> The American University in Cairo <extra_id_1>
139,2010,"In 2010, Michael D. Higgins holds the position of <extra_id_0>.",<extra_id_0> Teachta Dála <extra_id_1>
140,2010,"In 2010, Lomana LuaLua plays for <extra_id_0>.",<extra_id_0> DR Congo national football team <extra_id_1>
141,2010,"In 2010, Madison Gesiotto attended <extra_id_0>.",<extra_id_0> Ohio State University <extra_id_1>
142,2010,"In 2010, <extra_id_0> is the head of the government of Poznań.",<extra_id_0> Ryszard Grobelny <extra_id_1>
143,2010,"In 2010, <extra_id_0> is the head of the government of Kinmen.",<extra_id_0> Li Wo-shi <extra_id_1>
144,2010,"In 2010, Marcelo plays for <extra_id_0>.",<extra_id_0> Brazil Olympic football team <extra_id_1>
145,2010,"In 2010, Ursula Staudinger works for <extra_id_0>.",<extra_id_0> Jacobs University Bremen <extra_id_1>
146,2010,"In 2010, Rudy Fernández plays for <extra_id_0>.",<extra_id_0> Portland Trail Blazers <extra_id_1>
147,2010,"In 2010, <extra_id_0> is the chair of FC Girondins de Bordeaux.",<extra_id_0> Jean-Louis Triaud <extra_id_1>
148,2010,"In 2010, Robert Green plays for <extra_id_0>.",<extra_id_0> West Ham United F.C. <extra_id_1>
149,2010,"In 2010, Gerardo Villanueva Albarrán is a member of the <extra_id_0>.",<extra_id_0> Party of the Democratic Revolution <extra_id_1>
150,2010,"In 2010, Åsane Storsenter is owned by <extra_id_0>.",<extra_id_0> Steen & Strøm <extra_id_1>
151,2010,"In 2010, Ranil Wickremesinghe holds the position of <extra_id_0>.",<extra_id_0> Leader of the Opposition <extra_id_1>
152,2010,"In 2010, Rahul Dravid plays for <extra_id_0>.",<extra_id_0> India national cricket team <extra_id_1>
153,2010,"In 2010, Mia Love holds the position of <extra_id_0>.",<extra_id_0> mayor <extra_id_1>
154,2010,"In 2010, Allegra Rose Edwards attended <extra_id_0>.",<extra_id_0> American Conservatory Theater <extra_id_1>
155,2010,"In 2010, <extra_id_0> is the chair of University of Tokyo.",<extra_id_0> Junichi Hamada <extra_id_1>
156,2010,"In 2010, Joe Biden holds the position of <extra_id_0>.",<extra_id_0> Vice President of the United States <extra_id_1>
157,2010,"In 2010, Marine Le Pen holds the position of <extra_id_0>.",<extra_id_0> member of the European Parliament <extra_id_1>
158,2010,"In 2010, Tomáš Rosický plays for <extra_id_0>.",<extra_id_0> Arsenal F.C. <extra_id_1>
159,2010,"In 2010, Dovre Line is owned by <extra_id_0>.",<extra_id_0> Norwegian National Rail Administration <extra_id_1>
160,2010,"In 2010, Mario Balotelli plays for <extra_id_0>.",<extra_id_0> Inter Milan <extra_id_1>
161,2010,"In 2010, Mary E. Northridge works for <extra_id_0>.",<extra_id_0> New York University College of Dentistry <extra_id_1>
162,2010,"In 2010, Robin van Persie plays for <extra_id_0>.",<extra_id_0> Arsenal F.C. <extra_id_1>
163,2010,"In 2010, Vicente Guallart works for <extra_id_0>.",<extra_id_0> Institute for Advanced Architecture of Catalonia <extra_id_1>
164,2010,"In 2010, <extra_id_0> is the head of the government of Canada.",<extra_id_0> Stephen Harper <extra_id_1>
165,2010,"In 2010, <extra_id_0> is the chair of ITV plc.",<extra_id_0> Archie Norman <extra_id_1>
166,2010,"In 2010, Mathieu Gallet works for <extra_id_0>.",<extra_id_0> Institut National de l'Audiovisuel <extra_id_1>
167,2010,"In 2010, Bharat Mehra works for <extra_id_0>.","<extra_id_0> University of Tennessee, Knoxville <extra_id_1>"
168,2010,"In 2010, <extra_id_0> is the head of the government of Vienna.",<extra_id_0> Michael Häupl <extra_id_1>
169,2010,"In 2010, Jair Bolsonaro is a member of the <extra_id_0>.",<extra_id_0> Progressive Party <extra_id_1>
170,2010,"In 2010, Owen Paterson holds the position of <extra_id_0>.",<extra_id_0> Secretary of State for Northern Ireland <extra_id_1>
171,2010,"In 2010, Sol Bamba plays for <extra_id_0>.",<extra_id_0> Hibernian F.C. <extra_id_1>
172,2010,"In 2010, <extra_id_0> is the chair of Next plc.",<extra_id_0> John Barton <extra_id_1>
173,2010,"In 2010, <extra_id_0> is the chair of Federal Emergency Management Agency.",<extra_id_0> Craig Fugate <extra_id_1>
174,2010,"In 2010, Sandy Abi-Elias attended <extra_id_0>.",<extra_id_0> Teddington School <extra_id_1>
175,2010,"In 2010, Self-portrait wearing a white feathered bonnet is owned by <extra_id_0>.","<extra_id_0> Harold Samuel, Baron Samuel of Wych Cross <extra_id_1>"
176,2010,"In 2010, Kenneth Clarke holds the position of <extra_id_0>.",<extra_id_0> Lord Chancellor <extra_id_1>
177,2010,"In 2010, Paul Butler holds the position of <extra_id_0>.",<extra_id_0> Bishop of Southampton <extra_id_1>
178,2010,"In 2010, <extra_id_0> is the head of the government of New Brunswick.",<extra_id_0> David Alward <extra_id_1>
179,2010,"In 2010, Troy Bell is a member of the <extra_id_0>.",<extra_id_0> Liberal Party of Australia <extra_id_1>
180,2010,"In 2010, Marta Lewicka works for <extra_id_0>.",<extra_id_0> University of Minnesota <extra_id_1>
181,2010,"In 2010, Boy and Dog in a Johnnypump is owned by <extra_id_0>.",<extra_id_0> Peter M. Brant <extra_id_1>
182,2010,"In 2010, Joseph F. Dunford, Jr. holds the position of <extra_id_0>.",<extra_id_0> Assistant Commandant of the Marine Corps <extra_id_1>
183,2010,"In 2010, Carolyn Abbate works for <extra_id_0>.",<extra_id_0> University of Pennsylvania <extra_id_1>
184,2010,"In 2010, Henrikh Mkhitaryan plays for <extra_id_0>.",<extra_id_0> Armenia national under-21 football team <extra_id_1>
185,2010,"In 2010, <extra_id_0> is the chair of Pirate Party.",<extra_id_0> Rickard Falkvinge <extra_id_1>
186,2010,"In 2010, Carolyn Lawrence-Dill works for <extra_id_0>.",<extra_id_0> Agricultural Research Service <extra_id_1>
187,2010,"In 2010, Blase J. Cupich holds the position of <extra_id_0>.",<extra_id_0> diocesan bishop <extra_id_1>
188,2010,"In 2010, Theodoros Currentzis works for <extra_id_0>.",<extra_id_0> Bolshoi Theatre <extra_id_1>
189,2010,"In 2010, Lucy Gichuhi is a member of the <extra_id_0>.",<extra_id_0> Family First Party <extra_id_1>
190,2010,"In 2010, Rich Nugent holds the position of <extra_id_0>.",<extra_id_0> sheriff <extra_id_1>
191,2010,"In 2010, Victor Ciorbea is a member of the <extra_id_0>.",<extra_id_0> Christian-Democratic National Peasants' Party <extra_id_1>
192,2010,"In 2010, <extra_id_0> is the head coach of South Africa national rugby union team.",<extra_id_0> Peter de Villiers <extra_id_1>
193,2010,"In 2010, <extra_id_0> is the chair of Italian Liberal Party.",<extra_id_0> Carlo Scognamiglio <extra_id_1>
194,2010,"In 2010, Elinor Ostrom works for <extra_id_0>.",<extra_id_0> Indiana University <extra_id_1>
195,2010,"In 2010, Bernard Monot is a member of the <extra_id_0>.",<extra_id_0> National Rally <extra_id_1>
196,2010,"In 2010, Phil Murphy holds the position of <extra_id_0>.",<extra_id_0> United States Ambassador to Germany <extra_id_1>
197,2010,"In 2010, Leo Varadkar holds the position of <extra_id_0>.",<extra_id_0> Teachta Dála <extra_id_1>
198,2010,"In 2010, Jaguar is owned by <extra_id_0>.",<extra_id_0> Jaguar Cars <extra_id_1>
199,2010,"In 2010, Jimmy Smith plays for <extra_id_0>.",<extra_id_0> Leyton Orient F.C. <extra_id_1>
200,2010,"In 2010, Ryan Babel plays for <extra_id_0>.",<extra_id_0> Netherlands national association football team <extra_id_1>
201,2010,"In 2010, Alberto Aquilani plays for <extra_id_0>.",<extra_id_0> Liverpool F.C. <extra_id_1>
202,2010,"In 2010, Serdar Tasci plays for <extra_id_0>.",<extra_id_0> Germany national association football team <extra_id_1>
203,2010,"In 2010, Lluís Puig i Gordi is a member of the <extra_id_0>.",<extra_id_0> Catalan European Democratic Party <extra_id_1>
204,2010,"In 2010, Marina Silva is a member of the <extra_id_0>.",<extra_id_0> Green Party <extra_id_1>
205,2010,"In 2010, Rory Delap plays for <extra_id_0>.",<extra_id_0> Stoke City F.C. <extra_id_1>
206,2010,"In 2010, Damien Carême is a member of the <extra_id_0>.",<extra_id_0> Socialist Party <extra_id_1>
207,2010,"In 2010, <extra_id_0> is the chair of Alberta New Democratic Party.",<extra_id_0> Brian Mason <extra_id_1>
208,2010,"In 2010, Frank Scholze works for <extra_id_0>.",<extra_id_0> Karlsruhe Institute of Technology <extra_id_1>
209,2010,"In 2010, Freddie Sears plays for <extra_id_0>.",<extra_id_0> West Ham United F.C. <extra_id_1>
210,2010,"In 2010, Dimitris Papadimoulis is a member of the <extra_id_0>.",<extra_id_0> Synaspismós <extra_id_1>
211,2010,"In 2010, Sandra Schmid works for <extra_id_0>.",<extra_id_0> Scripps Research <extra_id_1>
212,2010,"In 2010, Sandra Wolin works for <extra_id_0>.",<extra_id_0> Yale School of Medicine <extra_id_1>
213,2010,"In 2010, Ilir Meta holds the position of <extra_id_0>.",<extra_id_0> Minister of Foreign Affairs <extra_id_1>
214,2010,"In 2010, Dominique Bertinotti is a member of the <extra_id_0>.",<extra_id_0> Socialist Party <extra_id_1>
215,2010,"In 2010, <extra_id_0> is the chair of Toulouse FC.",<extra_id_0> Olivier Sadran <extra_id_1>
216,2010,"In 2010, Peter Odemwingie plays for <extra_id_0>.",<extra_id_0> FC Lokomotiv Moscow <extra_id_1>
217,2010,"In 2010, Alan Johnson holds the position of <extra_id_0>.",<extra_id_0> Home Secretary <extra_id_1>
218,2010,"In 2010, Hernán Crespo plays for <extra_id_0>.",<extra_id_0> Parma Calcio 1913 <extra_id_1>
219,2010,"In 2010, Wolfgang Wiehle is a member of the <extra_id_0>.",<extra_id_0> Christian Social Union of Bavaria <extra_id_1>
220,2010,"In 2010, Angaston Power Station is owned by <extra_id_0>.",<extra_id_0> Infratil <extra_id_1>
221,2010,"In 2010, Will Smith attended <extra_id_0>.",<extra_id_0> Kentucky Country Day School <extra_id_1>
222,2010,"In 2010, Sylvain Maillard is a member of the <extra_id_0>.",<extra_id_0> Les Centristes <extra_id_1>
223,2010,"In 2010, Sandy MacIver attended <extra_id_0>.",<extra_id_0> Sir John Deane's College <extra_id_1>
224,2010,"In 2010, Tom Frieden holds the position of <extra_id_0>.",<extra_id_0> director <extra_id_1>
225,2010,"In 2010, Francesc Homs Molist is a member of the <extra_id_0>.",<extra_id_0> Democratic Convergence of Catalonia <extra_id_1>
226,2010,"In 2010, Barnaby Joyce holds the position of <extra_id_0>.",<extra_id_0> Member of the Australian Senate <extra_id_1>
227,2010,"In 2010, Eric Chu holds the position of <extra_id_0>.",<extra_id_0> Vice Premier of the Republic of China <extra_id_1>
228,2010,"In 2010, Teaira McCowan attended <extra_id_0>.",<extra_id_0> Brenham High School <extra_id_1>
229,2010,"In 2010, Ubaldo Jiménez plays for <extra_id_0>.",<extra_id_0> Colorado Rockies <extra_id_1>
230,2010,"In 2010, Barry O'Farrell holds the position of <extra_id_0>.",<extra_id_0> Leader of the Opposition <extra_id_1>
231,2010,"In 2010, Matti Vanhanen holds the position of <extra_id_0>.",<extra_id_0> Prime Minister of Finland <extra_id_1>
232,2010,"In 2010, <extra_id_0> is the head of the government of Delaware.",<extra_id_0> Jack Markell <extra_id_1>
233,2010,"In 2010, The Onion is owned by <extra_id_0>.",<extra_id_0> Fusion Media Group <extra_id_1>
234,2010,"In 2010, Vladimir Milov is a member of the <extra_id_0>.","<extra_id_0> People's Freedom Party ""For Russia without Lawlessness and Corruption"" <extra_id_1>"
235,2010,"In 2010, Kris Boyd plays for <extra_id_0>.",<extra_id_0> Middlesbrough F.C. <extra_id_1>
